ORF,Protein Molecules/Cell
YAL001C,42
YAL002W,50
YAL005C,10199
YAL007C,383
YAL008W,NA
YAL009W,NA
YAL010C,NA
YAL011W,NA
YAL012W,1325
YAL014C,62
YAL015C,NA
YAL016W,591
YAL017W,75
YAL019W,184
YAL021C,276
YAL023C,49
YAL024C,57
YAL026C,266
YAL027W,NA
YAL029C,163
YAL031C,59
YAL032C,45
YAL033W,383
YAL034W-A,39
YAL035W,2001
YAL036C,445
YAL038W,NA
YAL039C,150
YAL041W,158
YAL043C,128
YAL044C,2032
YAL047C,NA
YAL049C,NA
YAL053W,68
YAL054C,NA
YAL055W,NA
YAL056W,NA
YAL058W,NA
YAL059W,132
YAL060W,1319
YAL061W,NA
YAR002C-A,561
YAR002W,154
YAR003W,NA
YAR007C,301
YAR009C,70
YAR014C,228
YAR015W,3126
YAR019C,59
YAR027W,NA
YAR028W,NA
YAR044W,142
YAR071W,NA
YBL001C,43
YBL002W,5385
YBL003C,4996
YBL004W,177
YBL005W,39
YBL007C,531
YBL008W,NA
YBL010C,61
YBL011W,191
YBL013W,NA
YBL014C,NA
YBL015W,NA
YBL016W,251
YBL017C,270
YBL018C,112
YBL019W,NA
YBL021C,NA
YBL022C,191
YBL023C,192
YBL024W,652
YBL025W,NA
YBL026W,275
YBL027W,1777
YBL028C,720
YBL029C-A,92
YBL029W,NA
YBL031W,NA
YBL032W,NA
YBL033C,368
YBL034C,NA
YBL035C,79
YBL036C,261
YBL037W,149
YBL038W,59
YBL039C,1251
YBL040C,NA
YBL042C,1049
YBL045C,217
YBL046W,89
YBL047C,691
YBL051C,151
YBL052C,NA
YBL054W,NA
YBL055C,69
YBL056W,416
YBL057C,52
YBL058W,202
YBL059C-A,NA
YBL059W,NA
YBL060W,NA
YBL061C,99
YBL063W,50
YBL064C,106
YBL067C,NA
YBL068W,209
YBL069W,NA
YBL071W-A,694
YBL072C,5399
YBL074C,NA
YBL075C,NA
YBL076C,3735
YBL079W,241
YBL080C,NA
YBL082C,NA
YBL084C,NA
YBL085W,113
YBL086C,NA
YBL087C,708
YBL090W,NA
YBL091C,64
YBL093C,140
YBL095W,NA
YBL097W,72
YBL098W,41
YBL099W,1449
YBL101C,166
YBL102W,264
YBL103C,95
YBL104C,127
YBL105C,149
YBL107C,NA
YBL111C,NA
YBR001C,50
YBR002C,NA
YBR003W,88
YBR005W,80
YBR006W,NA
YBR007C,NA
YBR008C,NA
YBR009C,2214
YBR010W,NA
YBR011C,1796
YBR014C,46
YBR015C,84
YBR016W,109
YBR017C,290
YBR023C,159
YBR025C,1498
YBR026C,NA
YBR028C,175
YBR030W,85
YBR031W,NA
YBR034C,457
YBR036C,478
YBR037C,NA
YBR039W,1050
YBR041W,NA
YBR042C,40
YBR043C,898
YBR046C,105
YBR047W,NA
YBR048W,NA
YBR049C,366
YBR052C,307
YBR054W,NA
YBR055C,55
YBR056W,NA
