ORF,Protein Molecules/Cell
YAL001C,1.25E+02
YAL002W,7.36E+02
YAL003W,-
YAL004W,-
YAL005C,2.69E+05
YAL007C,2.63E+04
YAL008W,1.92E+03
YAL009W,8.61E+02
YAL010C,7.68E+02
YAL011W,1.38E+03
YAL012W,3.83E+04
YAL013W,-
YAL014C,-
YAL015C,-
YAL016W,1.69E+04
YAL017W,9.67E+02
YAL018C,-
YAL019W,6.80E+03
YAL020C,-
YAL021C,2.78E+03
YAL022C,2.17E+02
YAL023C,6.51E+03
YAL024C,3.04E+02
YAL025C,-
YAL026C,6.06E+02
YAL027W,1.17E+03
YAL028W,-
YAL029C,2.21E+03
YAL030W,-
YAL031C,2.27E+02
YAL032C,1.67E+03
YAL033W,2.23E+03
YAL034C,-
YAL034W-A,2.61E+03
YAL035C-A,-
YAL035W,1.34E+04
YAL036C,1.17E+04
YAL037W,-
YAL038W,2.91E+05
YAL039C,3.87E+03
YAL040C,-
YAL041W,1.01E+03
YAL042W,-
YAL043C,3.73E+03
YAL043C-A,-
YAL044C,3.51E+03
YAL044W-A,2.38E+02
YAL045C,-
YAL046C,2.59E+02
YAL047C,6.39E+02
YAL048C,-
YAL049C,1.80E+03
YAL051W,9.23E+01
YAL053W,4.14E+02
YAL054C,2.89E+03
YAL055W,2.59E+02
YAL056W,-
YAL058C-A,-
YAL058W,4.76E+03
YAL059W,2.84E+03
YAL060W,8.73E+03
YAL061W,3.09E+03
YAL062W,-
YAL063C,-
YAL064C-A,-
YAL064W,-
YAL064W-B,-
YAL065C,-
YAL066W,-
YAL067C,-
YAL068C,-
YAL069W,-
YAR002C-A,2.07E+04
YAR002W,4.59E+03
YAR003W,9.07E+02
YAR007C,4.10E+03
YAR008W,-
YAR009C,2.22E+03
YAR014C,5.38E+02
YAR015W,4.28E+03
YAR018C,-
YAR019C,2.38E+02
YAR020C,-
YAR023C,-
YAR027W,1.69E+03
YAR028W,1.84E+03
YAR029W,-
YAR030C,-
YAR031W,2.59E+02
YAR033W,-
YAR035W,-
YAR042W,-
YAR044W,8.46E+02
YAR047C,-
YAR050W,-
YAR053W,-
YAR060C,-
YAR061W,-
YAR062W,-
YAR064W,1.52E+03
YAR066W,-
YAR068W,-
YAR069C,-
YAR070C,-
YAR071W,1.46E+03
YAR073W,-
YAR075W,-
YBL001C,1.90E+03
YBL002W,4.43E+05
YBL003C,3.21E+04
YBL004W,-
